Iteration,Aggression[0],AverageWinrate,Temperature
0,0.6,0.8933333333333332,1.0
1,0.6,0.8933333333333332,0.97
2,0.613,0.9266666666666667,0.9409
3,0.6,0.9,0.91267
4,0.6,0.8933333333333332,0.88529
5,0.623,0.9133333333333332,0.85873
6,0.601,0.8733333333333334,0.83297
7,0.627,0.8866666666666667,0.80798
8,0.6,0.8933333333333334,0.78374
9,0.6,0.9333333333333332,0.76023
10,0.607,0.8799999999999999,0.73742
11,0.625,0.88,0.7153
12,0.629,0.9466666666666667,0.69384
13,0.647,0.8733333333333334,0.67303
14,0.638,0.9133333333333334,0.65284
15,0.615,0.9066666666666666,0.63325
16,0.62,0.8733333333333334,0.61425
17,0.6,0.9,0.59583
18,0.611,0.9066666666666667,0.57795
19,0.611,0.9066666666666667,0.56061
20,0.624,0.8933333333333334,0.54379
21,0.608,0.9199999999999999,0.52748
22,0.628,0.9066666666666666,0.51166
23,0.615,0.86,0.49631
24,0.636,0.8866666666666667,0.48142
25,0.665,0.88,0.46697
26,0.69,0.8333333333333334,0.45297
27,0.717,0.8933333333333332,0.43938
28,0.711,0.9,0.4262
29,0.735,0.8733333333333334,0.41341
30,0.717,0.9333333333333332,0.40101
31,0.714,0.8866666666666667,0.38898
32,0.724,0.9066666666666666,0.37731
33,0.734,0.9133333333333334,0.36599
34,0.752,0.9,0.35501
35,0.726,0.9133333333333334,0.34436
36,0.74,0.9333333333333332,0.33403
37,0.765,0.88,0.32401
38,0.758,0.8866666666666667,0.31429
39,0.742,0.9199999999999999,0.30486
40,0.72,0.9199999999999999,0.29571
41,0.741,0.8933333333333334,0.28684
42,0.76,0.8933333333333332,0.27824
43,0.735,0.8799999999999999,0.26989
44,0.727,0.9199999999999999,0.26179
45,0.701,0.9400000000000001,0.25394
46,0.701,0.9400000000000001,0.24632
47,0.692,0.8733333333333334,0.23893
48,0.706,0.9466666666666667,0.23176
49,0.691,0.9199999999999999,0.22481
50,0.673,0.9,0.21807
51,0.681,0.9066666666666666,0.21152
52,0.681,0.9199999999999999,0.20518
53,0.677,0.9066666666666666,0.19902
54,0.667,0.9,0.19305
55,0.669,0.9,0.18726
56,0.68,0.9133333333333332,0.18164
57,0.69,0.8933333333333332,0.17619
58,0.713,0.9,0.17091
59,0.713,0.9,0.16578
60,0.694,0.9133333333333334,0.16081
61,0.715,0.9133333333333334,0.15598
62,0.697,0.9199999999999999,0.1513
63,0.701,0.88,0.14676
64,0.676,0.9199999999999999,0.14236
65,0.675,0.9,0.13809
66,0.67,0.9266666666666666,0.13395
67,0.651,0.9,0.12993
68,0.654,0.86,0.12603
69,0.672,0.8733333333333334,0.12225
70,0.675,0.9199999999999999,0.11858
71,0.675,0.9199999999999999,0.11503
72,0.675,0.9199999999999999,0.11157
73,0.665,0.8933333333333334,0.10823
74,0.665,0.8799999999999999,0.10498
75,0.653,0.9133333333333334,0.10183
76,0.68,0.9199999999999999,0.09878
77,0.68,0.9199999999999999,0.09581
78,0.679,0.8933333333333332,0.09294
79,0.682,0.9066666666666666,0.09015
80,0.653,0.86,0.08745
81,0.674,0.94,0.08482
82,0.674,0.94,0.08228
83,0.644,0.8733333333333334,0.07981
84,0.67,0.8733333333333334,0.07742
85,0.69,0.9199999999999999,0.07509
86,0.705,0.8933333333333332,0.07284
87,0.712,0.9,0.07065
88,0.719,0.9266666666666666,0.06854
89,0.715,0.94,0.06648
90,0.715,0.94,0.06448
91,0.715,0.94,0.06255
92,0.718,0.8866666666666667,0.06067
93,0.742,0.9133333333333334,0.05885
94,0.736,0.8866666666666667,0.05709
95,0.736,0.9266666666666666,0.05538
96,0.736,0.9266666666666666,0.05371
97,0.734,0.8666666666666667,0.0521
98,0.744,0.9066666666666666,0.05054
99,0.763,0.8866666666666667,0.04902
100,0.742,0.88,0.04755
