Iteration,Aggression[2],AverageWinrate,Temperature
0,0.5,0.9866666666666667,1.0
1,0.5,1.0,0.97
2,0.52,0.9933333333333333,0.9409
3,0.533,1.0,0.91267
4,0.524,0.9933333333333333,0.88529
5,0.509,0.98,0.85873
6,0.532,0.9933333333333333,0.83297
7,0.561,1.0,0.80798
8,0.566,0.9933333333333333,0.78374
9,0.562,0.9866666666666667,0.76023
10,0.575,1.0,0.73742
11,0.578,0.9866666666666667,0.7153
12,0.589,0.9933333333333333,0.69384
13,0.573,1.0,0.67303
14,0.579,0.9866666666666667,0.65284
15,0.574,0.9933333333333333,0.63325
16,0.557,0.9933333333333333,0.61425
17,0.554,0.9933333333333333,0.59583
18,0.56,0.9933333333333333,0.57795
19,0.543,0.98,0.56061
20,0.53,0.9933333333333333,0.54379
21,0.549,0.98,0.52748
22,0.531,0.9933333333333333,0.51166
23,0.547,1.0,0.49631
24,0.538,1.0,0.48142
25,0.541,0.9933333333333333,0.46697
26,0.521,0.9933333333333333,0.45297
27,0.539,0.9866666666666667,0.43938
28,0.515,1.0,0.4262
29,0.543,0.9866666666666667,0.41341
30,0.526,0.9933333333333333,0.40101
